cohort,target,budget,method,sites,site_folds,rmse_median,rmse_mean,r2_median,r2_mean,unit_spearman_median,unit_spearman_mean,block_spearman_median,block_spearman_mean,centred_rmse_median,bias_mean
all_site_folds_to_100,ahn4_p95_height_m,2,source_offset,20,100,3.049856651988996,3.271330992557227,-0.0483282442994996,-0.2846272143863682,0.4678328771374005,0.450406101939902,0.5345238095238096,0.5120167185778309,2.539379817410965,-0.08226068473042981
all_site_folds_to_100,ahn4_p95_height_m,2,source_plus_target_ridge,20,100,3.017398706982097,3.222310715602024,0.037886077366600754,-0.34481544001910197,0.47851539198090925,0.4493601638151322,0.5438423645320195,0.513536607790527,2.5346727038750587,-0.11647683404829887
all_site_folds_to_100,ahn4_p95_height_m,2,target_only_ridge,20,100,4.67967794212,18.778694258535435,-1.1312620903527777,-3300.8980741629566,0.03470495929218155,0.03611866337514955,0.04815925235664315,0.04222879951506997,3.8768038993586,5.5274894104386965
all_site_folds_to_100,ahn4_p95_height_m,2,target_reference_mean,20,100,3.5363894629314183,3.744149505556845,-0.265376356756732,-0.6197425655126529,,,,,2.908364611006748,-0.029522071933860777
all_site_folds_to_100,ahn4_p95_height_m,5,source_offset,20,100,2.860150809338382,2.95490494821835,0.07108907998050505,-0.013382880319146277,0.4678328771374005,0.450406101939902,0.5345238095238096,0.5120167185778309,2.5393798174109654,-0.11088942089665658
all_site_folds_to_100,ahn4_p95_height_m,5,source_plus_target_ridge,20,100,3.0153326455400364,3.2172747955622394,0.0382458557792175,-0.33851901727752853,0.47869591705798603,0.44965147667125377,0.5455142558590833,0.513190411106156,2.5334424830911586,-0.11517934389418572
all_site_folds_to_100,ahn4_p95_height_m,5,target_only_ridge,20,100,3.1622385676971563,3.3066669027760804,-0.1125842610112862,-0.21485872227807062,0.2244286440430909,0.2119862411790423,0.2969696969696969,0.25686672688080303,2.883769735096933,-0.15766715075965868
all_site_folds_to_100,ahn4_p95_height_m,5,target_reference_mean,20,100,3.3110837925674987,3.38785234900439,-0.1227884810636702,-0.2673095359225353,,,,,2.908364611006748,-0.1371990843774033
all_site_folds_to_100,ahn4_p95_height_m,10,source_offset,20,100,2.7713362837097595,2.8479856583289056,0.1025862431097206,0.0732826719358998,0.4678328771374005,0.450406101939902,0.5345238095238096,0.5120167185778309,2.539379817410965,-0.0297909018613972
all_site_folds_to_100,ahn4_p95_height_m,10,source_plus_target_ridge,20,100,3.013286999355884,3.2086857127876094,0.039062273746488,-0.32792447444071054,0.4791892648099545,0.4500473638302435,0.5438423645320195,0.5130140619259208,2.530819265498809,-0.11212535417393464
