scope,fold,target,target_variant,model,rows,rmse,mae,r2,bias,block_spearman
fold,2,ahn4_height_cv,raw,tessera_v1,112,0.06287247342651081,0.04748116979145266,-0.09817269833101805,0.03819808933609865,0.6644740973312402
fold,2,ahn4_height_cv,raw,tessera_v2,112,0.05561755846338737,0.045945885704661946,0.1406434519358557,0.03572399596737183,0.8109433112207808
fold,2,ahn4_height_cv,raw,conventional,112,0.06392949266829087,0.048993905803775925,-0.13540830475037624,0.029473766019658152,0.49113949102533205
fold,2,ahn4_height_cv,raw,fused_v1,112,0.05987388414340473,0.04591274132307781,0.004080087398455445,0.034347581279303756,0.6531234348865552
fold,2,ahn4_height_cv,raw,fused_v2,112,0.05642992481774806,0.045089115008993645,0.11535608649915552,0.0357336591540776,0.7401564689736562
fold,2,ahn4_height_cv,height_adjusted,tessera_v1,112,0.0495319605729289,0.04084086700233506,0.004575379150735026,0.023028217366385814,0.562782081298016
fold,2,ahn4_height_cv,height_adjusted,tessera_v2,112,0.0426559764993616,0.035744462103942,0.2617607728151633,0.019657599895991026,0.6929565397870456
fold,2,ahn4_height_cv,height_adjusted,conventional,112,0.05431130663569224,0.042726406422546145,-0.19678970278154417,0.016235929150016794,0.507137890385076
fold,2,ahn4_height_cv,height_adjusted,fused_v1,112,0.05169724084096403,0.04348235256322011,-0.08435645927361879,0.020843610703418853,0.6308752639464547
fold,2,ahn4_height_cv,height_adjusted,fused_v2,112,0.048776120558089824,0.04156262825900429,0.03472323573399427,0.020586076340332857,0.6931472332962741
fold,2,ahn4_entropy,raw,tessera_v1,112,0.1461387732979399,0.11882513280211204,0.3958751458744123,-0.05933721695330166,0.5427557269114269
fold,2,ahn4_entropy,raw,tessera_v2,112,0.15230531219996696,0.12461906204969435,0.3438156161744351,-0.0443696188436359,0.43513940105663584
fold,2,ahn4_entropy,raw,conventional,112,0.17807789783308728,0.1422805864792137,0.102951697313034,-0.01938629029532478,0.23790477320364745
fold,2,ahn4_entropy,raw,fused_v1,112,0.15870843093942671,0.12570034836615868,0.2874820916508155,-0.06442539016194528,0.4763444435697487
fold,2,ahn4_entropy,raw,fused_v2,112,0.15522807578766376,0.12682027609778668,0.31838939917358955,-0.02932467857446808,0.4658848825187813
fold,2,ahn4_entropy,height_adjusted,tessera_v1,112,0.13364986841199128,0.1080945888532498,-0.06130096111869454,-0.03157164044840575,0.5063082580967471
fold,2,ahn4_entropy,height_adjusted,tessera_v2,112,0.13817788143706483,0.11154906410443316,-0.13443220226259056,-0.029797811487141813,0.32830823159188466
fold,2,ahn4_entropy,height_adjusted,conventional,112,0.1568089854256037,0.11964999472152671,-0.4609769911341661,-0.019702799142817404,0.4482271826793786
fold,2,ahn4_entropy,height_adjusted,fused_v1,112,0.1637252575231896,0.1294028299608743,-0.5926958591393918,-0.04078942460238874,0.46102456921546825
fold,2,ahn4_entropy,height_adjusted,fused_v2,112,0.15052371518130228,0.11553336274357592,-0.3462054497404987,-0.023354630275317933,0.2716315205327414
fold,2,ahn4_pulse_penetration,raw,tessera_v1,112,0.03430048841045864,0.027177698958444813,0.2460955452114394,0.015666871057693987,0.40208603193223463
fold,2,ahn4_pulse_penetration,raw,tessera_v2,112,0.037880722541624265,0.029158289366077412,0.08049899175749953,0.01826660062504445,0.19356885332309462
fold,2,ahn4_pulse_penetration,raw,conventional,112,0.03584623874728354,0.028108679115862623,0.17661512055953044,0.007299075287906043,0.19366803905887467
fold,2,ahn4_pulse_penetration,raw,fused_v1,112,0.030234035577005252,0.02375318962835415,0.414255875503559,0.011567737593806507,0.3255011523015328
fold,2,ahn4_pulse_penetration,raw,fused_v2,112,0.03486155759660503,0.02693250253275623,0.22122988745897942,0.015927556735736016,0.3695562220138088
fold,2,ahn4_pulse_penetration,height_adjusted,tessera_v1,112,0.030965198756423274,0.02401664263569373,0.2060873098870336,0.01443212393016535,0.26268295680853154
fold,2,ahn4_pulse_penetration,height_adjusted,tessera_v2,112,0.03447412112175909,0.027247171164518445,0.01596304996326503,0.017355865761323443,0.21207233493740546
fold,2,ahn4_pulse_penetration,height_adjusted,conventional,112,0.03252188350577536,0.025609966579283862,0.12425759483061272,0.007447065621776873,0.15448271457943252
fold,2,ahn4_pulse_penetration,height_adjusted,fused_v1,112,0.028246058493581264,0.021723351477906265,0.339396746565805,0.010437874708843388,0.3110760731261762
fold,2,ahn4_pulse_penetration,height_adjusted,fused_v2,112,0.032607526583053874,0.025352827044519903,0.11963916437665378,0.01538737926223754,0.32968743745024065
fold,2,ahn4_sigma_z,raw,tessera_v1,112,0.830122934914868,0.6254178783978237,0.5096690340895089,0.004459421727054395,0.3816156566862133
fold,2,ahn4_sigma_z,raw,tessera_v2,112,0.8038359484580668,0.6193573880985969,0.5402313612671371,-0.010357210181631197,0.36966467705963507
fold,2,ahn4_sigma_z,raw,conventional,112,1.1316054818959358,0.776033982929673,0.08884013672395774,0.08454052449485676,-0.0014200772009555892
