target_site,forest_group,fold,target,reference_pool_rows,eligible_200,budget,replicate,method,reference_rows,reference_blocks,rmse,mae,r2,bias,unit_spearman,block_spearman,centred_rmse,test_rows,test_blocks
springendal_and_dal_van_de_mosbeek,broadleaf,3,ahn4_sigma_z,216,True,0,0,source_ridge,0,0,0.9207419263984634,0.7708243294536995,0.0559151353963142,0.0425106033319546,0.3534048765091139,0.5439560439560439,0.9197600467688878,115,13
springendal_and_dal_van_de_mosbeek,broadleaf,4,ahn4_p95_height_m,290,True,0,0,source_ridge,0,0,3.0526076250355585,2.6401193376147973,-0.0887431888502443,1.741960538149044,0.6044438114228743,0.4769230769230769,2.506788143413145,119,14
springendal_and_dal_van_de_mosbeek,broadleaf,4,ahn4_height_sd_m,290,True,0,0,source_ridge,0,0,0.9060599809227268,0.773265456318143,0.101862789881751,0.511895878419554,0.6195769833357072,0.5032967032967033,0.7476010290835381,119,14
springendal_and_dal_van_de_mosbeek,broadleaf,4,ahn4_height_cv,290,True,0,0,source_ridge,0,0,0.0684823011623924,0.0562256967746701,0.0462173354032415,0.0066554240050222,0.5652115083321465,0.3494505494505495,0.0681581316044533,119,14
springendal_and_dal_van_de_mosbeek,broadleaf,4,ahn4_entropy,290,True,0,0,source_ridge,0,0,0.1382907344183145,0.1067510524671474,0.3171503378106373,-0.0045385517783136,0.5598347813701753,0.7274725274725276,0.1382162391823492,119,14
springendal_and_dal_van_de_mosbeek,broadleaf,4,ahn4_pulse_penetration,290,True,0,0,source_ridge,0,0,0.0378801204380062,0.0300728936279897,0.1547262846635134,-0.0106364654509989,0.4919384703033756,0.5956043956043956,0.0363561429074588,119,14
springendal_and_dal_van_de_mosbeek,broadleaf,4,ahn4_sigma_z,290,True,0,0,source_ridge,0,0,0.882980238877477,0.7483445562111494,0.1036758142723152,0.5011123501541083,0.6428998718131321,0.6087912087912088,0.7270079193317998,119,14
voornes_duin,broadleaf,0,ahn4_p95_height_m,197,False,0,0,source_ridge,0,0,3.441444502574217,2.9893182843982755,0.1087762690226377,1.9666498039075448,0.4672976194776577,0.8333333333333335,2.8241509897823662,94,8
voornes_duin,broadleaf,0,ahn4_height_sd_m,197,False,0,0,source_ridge,0,0,1.5478194330318706,1.3631510336690855,-1.2627552422045092,1.2435660351931506,0.2038435140700069,0.7619047619047621,0.9215685071578178,94,8
voornes_duin,broadleaf,0,ahn4_height_cv,197,False,0,0,source_ridge,0,0,0.1180529057653914,0.1074260390538027,-4.642093762940818,0.1074260390538027,0.5162807499187227,0.380952380952381,0.0489503288330449,94,8
voornes_duin,broadleaf,0,ahn4_entropy,197,False,0,0,source_ridge,0,0,0.3159308189976857,0.2637889789428851,-0.5647013990708531,0.2416506407319159,0.3665137448975905,0.8095238095238096,0.2035122851977316,94,8
voornes_duin,broadleaf,0,ahn4_pulse_penetration,197,False,0,0,source_ridge,0,0,0.0550737221626922,0.0480283752011248,-0.5543635565602894,-0.0282427364818739,0.2125275439800599,-0.0476190476190476,0.0472806800804393,94,8
voornes_duin,broadleaf,0,ahn4_sigma_z,197,False,0,0,source_ridge,0,0,1.4386618192588023,1.2611353718375908,-0.9738098257165068,1.1269893127332793,0.2574215222338619,0.9047619047619048,0.8942275544725836,94,8
voornes_duin,broadleaf,1,ahn4_p95_height_m,162,False,0,0,source_ridge,0,0,3.1675327060405665,2.7819907595491005,-0.2607187795485126,1.5276778499749528,0.2879353048252812,0.2666666666666666,2.774790772388538,93,9
voornes_duin,broadleaf,1,ahn4_height_sd_m,162,False,0,0,source_ridge,0,0,1.3167868820407085,1.1023712137099493,-0.8653198167185747,0.9353826652811122,0.2231058458416638,0.25,0.9268154952341336,93,9
voornes_duin,broadleaf,1,ahn4_height_cv,162,False,0,0,source_ridge,0,0,0.1090853841752613,0.0875101389169818,-0.3519550553288366,0.0759230293667678,0.577392497985736,0.5,0.0783282493895865,93,9
voornes_duin,broadleaf,1,ahn4_entropy,162,False,0,0,source_ridge,0,0,0.2577109281162333,0.208950032930109,-0.318910304755581,0.1206223516896217,0.2979618632687773,0.3,0.2277392604348129,93,9
voornes_duin,broadleaf,1,ahn4_pulse_penetration,162,False,0,0,source_ridge,0,0,0.0443037456105555,0.0386050630101268,0.4402905568841568,-0.0113142302835243,0.5689027483512875,0.9166666666666666,0.042834683005903,93,9
voornes_duin,broadleaf,1,ahn4_sigma_z,162,False,0,0,source_ridge,0,0,1.246521292117811,1.0404541298523011,-0.5933400883631674,0.8476041855784568,0.3154486586493986,0.35,0.9139926018808566,93,9
voornes_duin,broadleaf,2,ahn4_p95_height_m,182,False,0,0,source_ridge,0,0,4.726265216918244,3.97050545648838,-1.7379674317620406,3.3467223230733603,0.3255355272188708,-0.1666666666666666,3.337219290501256,94,9
voornes_duin,broadleaf,2,ahn4_height_sd_m,182,False,0,0,source_ridge,0,0,2.000407079761891,1.7371210444256515,-4.186668713371509,1.6863790121354447,0.2049705595491817,-0.0666666666666666,1.0759899219744484,94,9
voornes_duin,broadleaf,2,ahn4_height_cv,182,False,0,0,source_ridge,0,0,0.1266581469168259,0.1127260455069891,-2.9148359508798047,0.1108202455270053,0.4937109417331937,0.0999999999999999,0.0613282916910173,94,9
voornes_duin,broadleaf,2,ahn4_entropy,182,False,0,0,source_ridge,0,0,0.3871852853140907,0.3327316534870683,-2.327713312738627,0.2794978002989047,0.2223964165733482,0.0333333333333333,0.2679429506290983,94,9
voornes_duin,broadleaf,2,ahn4_pulse_penetration,182,False,0,0,source_ridge,0,0,0.041533649624053,0.0330748498492696,0.5009051738031851,-0.0109026988551154,0.5374200773037604,0.75,0.0400771157740707,94,9
voornes_duin,broadleaf,2,ahn4_sigma_z,182,False,0,0,source_ridge,0,0,1.8913749131595696,1.641182455397404,-3.500922533353351,1.5807460758755658,0.2288697034280966,0.0,1.03852824021948,94,9
voornes_duin,broadleaf,3,ahn4_p95_height_m,228,True,0,0,source_ridge,0,0,4.609578531079457,3.933763930857293,-0.0291172190777175,0.4946329648681324,0.1494996929523534,-0.0999999999999999,4.58296328419227,94,9
voornes_duin,broadleaf,3,ahn4_height_sd_m,228,True,0,0,source_ridge,0,0,1.7340461642591876,1.547557915206034,-0.2905366098080095,0.772093214319494,0.1348047538200339,0.1666666666666666,1.552671300753573,94,9
voornes_duin,broadleaf,3,ahn4_height_cv,228,True,0,0,source_ridge,0,0,0.1415161342896099,0.1254852152126004,-2.2863916168513123,0.1077703838264635,0.3552721887078712,0.1666666666666666,0.0917189218982193,94,9
